item,iata,label,countryLabel
http://www.wikidata.org/entity/Q581545,KRK,John Paul II International Airport Kraków-Balice,Poland
http://www.wikidata.org/entity/Q1629051,KRR,Krasnodar International Airport,Russia
http://www.wikidata.org/entity/Q1431790,KRS,"Kristiansand Airport, Kjevik",Norway
http://www.wikidata.org/entity/Q777774,KSC,Košice International Airport,Slovakia
http://www.wikidata.org/entity/Q1162558,KTW,Katowice International Airport,Poland
http://www.wikidata.org/entity/Q950834,KUF,Kurumoch International Airport,Russia
http://www.wikidata.org/entity/Q973283,KUO,Kuopio Airport,Finland
http://www.wikidata.org/entity/Q1156904,KUT,Kutaisi International Airport,Georgia
http://www.wikidata.org/entity/Q676516,KVA,"Kavala International Airport ""Alexander the Great""",Greece
http://www.wikidata.org/entity/Q3497747,KVO,Morava Airport,Serbia
http://www.wikidata.org/entity/Q111731,KWG,Kryvyi Rih International Airport,Ukraine
http://www.wikidata.org/entity/Q47151,KZN,Kazan International Airport,Russia
http://www.wikidata.org/entity/Q8699,LBA,Leeds Bradford Airport,United Kingdom
http://www.wikidata.org/entity/Q654636,LCA,Larnaca International Airport,Cyprus
http://www.wikidata.org/entity/Q8982,LCY,London City Airport,United Kingdom
http://www.wikidata.org/entity/Q690122,LED,Pulkovo Airport,Russia
http://www.wikidata.org/entity/Q8703,LGW,London Gatwick Airport,United Kingdom
http://www.wikidata.org/entity/Q8691,LHR,London Heathrow Airport,United Kingdom
http://www.wikidata.org/entity/Q828386,LIN,Linate Airport,Italy
http://www.wikidata.org/entity/Q403671,LIS,Humberto Delgado Airport,Portugal
http://www.wikidata.org/entity/Q1109558,LJU,Ljubljana Jože Pučnik Airport,Slovenia
http://www.wikidata.org/entity/Q700852,LNZ,Linz Airport,Austria
http://www.wikidata.org/entity/Q1130612,LPA,Gran Canaria Airport,Spain
http://www.wikidata.org/entity/Q8727,LPL,Liverpool John Lennon Airport,United Kingdom
http://www.wikidata.org/entity/Q517037,LPX,Liepāja International Airport,Latvia
http://www.wikidata.org/entity/Q8712,LTN,London Luton Airport,United Kingdom
http://www.wikidata.org/entity/Q872186,LUX,Luxembourg Airport,Luxembourg
http://www.wikidata.org/entity/Q282909,LWO,Lviv Danylo Halytskyi International Airport,Ukraine
http://www.wikidata.org/entity/Q2670580,LXS,Lemnos International Airport,Greece
http://www.wikidata.org/entity/Q59633,LYR,Svalbard Airport,Norway
http://www.wikidata.org/entity/Q1547,LYS,Lyon–Saint-Exupéry Airport,France
http://www.wikidata.org/entity/Q166276,MAD,Madrid-Barajas Airport,Spain
http://www.wikidata.org/entity/Q651372,MAH,Menorca Airport,Spain
http://www.wikidata.org/entity/Q8694,MAN,Manchester Airport,United Kingdom
http://www.wikidata.org/entity/Q1528995,MJT,Mytilene International Airport,Greece
http://www.wikidata.org/entity/Q672289,MLA,Malta International Airport,Malta
http://www.wikidata.org/entity/Q156971,MLH,EuroAirport Basel-Mulhouse-Freiburg,France
http://www.wikidata.org/entity/Q156971,MLH,EuroAirport Basel-Mulhouse-Freiburg,Germany
http://www.wikidata.org/entity/Q652315,MPW,Mariupol International Airport,Ukraine
http://www.wikidata.org/entity/Q652315,MPW,Mariupol International Airport,Russia
http://www.wikidata.org/entity/Q2156249,MQF,Magnitogorsk International Airport,Russia
http://www.wikidata.org/entity/Q651190,MRS,Marseille Provence Airport,France
http://www.wikidata.org/entity/Q777855,MSQ,Minsk National Airport,Belarus
http://www.wikidata.org/entity/Q60910,MXP,"Milan–Malpensa ""Silvio Berlusconi"" Airport",Italy
http://www.wikidata.org/entity/Q849383,NAP,Naples International Airport,Italy
http://www.wikidata.org/entity/Q2571517,NBC,Begishevo Airport,Russia
http://www.wikidata.org/entity/Q821557,NCE,Nice Côte d'Azur Airport,France
http://www.wikidata.org/entity/Q8975,NCL,Newcastle International Airport,United Kingdom
http://www.wikidata.org/entity/Q1432185,NIC,Nicosia International Airport,Cyprus
http://www.wikidata.org/entity/Q1432185,NIC,Nicosia International Airport,Northern Cyprus
http://www.wikidata.org/entity/Q848921,NOC,Ireland West Airport Knock,Ireland
http://www.wikidata.org/entity/Q892783,NOU,La Tontouta International Airport,France
http://www.wikidata.org/entity/Q174233,NQZ,Nursultan Nazarbayev International Airport,Kazakhstan
http://www.wikidata.org/entity/Q1432144,NTE,Nantes Atlantique Airport,France
http://www.wikidata.org/entity/Q349673,NWI,Norwich International Airport,United Kingdom
http://www.wikidata.org/entity/Q1432234,ODS,Odesa International Airport,Ukraine
http://www.wikidata.org/entity/Q1432098,OMO,Mostar International Airport,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q2102332,OMR,Oradea International Airport,Romania
http://www.wikidata.org/entity/Q943743,OPO,Francisco de Sá Carneiro Airport,Portugal
http://www.wikidata.org/entity/Q1345361,ORK,Cork Airport,Ireland
http://www.wikidata.org/entity/Q223416,ORY,Orly Airport,France
http://www.wikidata.org/entity/Q1432093,OSF,Ostafyevo International Airport,Russia
http://www.wikidata.org/entity/Q210559,OSL,Oslo Airport,Norway
http://www.wikidata.org/entity/Q922954,OSR,Leoš Janáček Airport Ostrava,Czech Republic
http://www.wikidata.org/entity/Q1432260,OST,Ostend-Bruges International Airport,Belgium
http://www.wikidata.org/entity/Q257631,OTP,Henri Coandă International Airport,Romania
http://www.wikidata.org/entity/Q1131604,OUL,Oulu Airport,Finland
http://www.wikidata.org/entity/Q1430901,OVD,Asturias Airport,Spain
http://www.wikidata.org/entity/Q1432786,OZH,Zaporizhzhia International Airport,Ukraine
http://www.wikidata.org/entity/Q1370380,PDV,Plovdiv Airport,Bulgaria
http://www.wikidata.org/entity/Q2115080,PED,Pardubice Airport,Czech Republic
http://www.wikidata.org/entity/Q1371018,PEG,Perugia San Francesco d'Assisi,Italy
http://www.wikidata.org/entity/Q255039,PEV,Pécs-Pogány International Airport,Hungary
http://www.wikidata.org/entity/Q1050707,PFO,Paphos International Airport,Cyprus
http://www.wikidata.org/entity/Q8992,PIK,Glasgow Prestwick Airport,United Kingdom
http://www.wikidata.org/entity/Q1332588,PLQ,Palanga International Airport,Lithuania
http://www.wikidata.org/entity/Q1748436,PLS,Providenciales International Airport,United Kingdom
http://www.wikidata.org/entity/Q656993,PMI,Palma de Mallorca Airport,Spain
http://www.wikidata.org/entity/Q630645,PMO,Falcone–Borsellino Airport,Italy
http://www.wikidata.org/entity/Q1432473,POW,Portorož Airport,Slovenia
http://www.wikidata.org/entity/Q1049719,PPT,Faa'a International Airport,France
http://www.wikidata.org/entity/Q99172,PRG,Václav Havel Airport Prague,Czech Republic
http://www.wikidata.org/entity/Q643783,PRN,Pristina International Airport Adem Jashari,Kosovo
http://www.wikidata.org/entity/Q709169,PSA,Pisa International Airport 'Galileo Galilei',Italy
http://www.wikidata.org/entity/Q1156872,PTP,Pointe-à-Pitre International Airport,France
http://www.wikidata.org/entity/Q1432377,PZY,Piešťany Airport,Slovakia
http://www.wikidata.org/entity/Q1432673,QSR,Salerno Costa d'Amalfi Airport,Italy
http://www.wikidata.org/entity/Q833555,RHO,"Rhodes International Airport ""Diagoras""",Greece
http://www.wikidata.org/entity/Q505421,RIX,Riga International Airport,Latvia
http://www.wikidata.org/entity/Q1140972,RMI,Federico Fellini International Airport,Italy
http://www.wikidata.org/entity/Q844951,RMO,Chișinău International Airport,Moldova
http://www.wikidata.org/entity/Q3015351,RMU,Región de Murcia International Airport,Spain
http://www.wikidata.org/entity/Q16534881,ROV,Platov International Airport,Russia
http://www.wikidata.org/entity/Q656807,RTM,Rotterdam The Hague Airport,Netherlands
http://www.wikidata.org/entity/Q1323139,RVN,Rovaniemi Airport,Finland
http://www.wikidata.org/entity/Q7338967,RWN,Rivne International Airport,Ukraine
http://www.wikidata.org/entity/Q1137714,SAB,Juancho E. Yrausquin Airport,Netherlands
http://www.wikidata.org/entity/Q723622,SAW,Istanbul Sabiha Gökçen International Airport,Turkey
http://www.wikidata.org/entity/Q21644281,SBT,Sabetta International Airport,Russia
http://www.wikidata.org/entity/Q946418,SBZ,Sibiu International Airport,Romania
http://www.wikidata.org/entity/Q1432943,SGC,Surgut International Airport,Russia
http://www.wikidata.org/entity/Q1432871,SIP,Simferopol International Airport,Ukraine
http://www.wikidata.org/entity/Q740392,SJJ,Sarajevo International Airport (SJJ),Bosnia and Herzegovina
http://www.wikidata.org/entity/Q127958,SKG,"Thessaloniki Airport ""Makedonia""",Greece
http://www.wikidata.org/entity/Q1432699,SMI,Samos International Airport,Greece
http://www.wikidata.org/entity/Q584102,SNN,Shannon Airport,Ireland
http://www.wikidata.org/entity/Q1187044,SOB,Hévíz–Balaton Airport,Hungary
http://www.wikidata.org/entity/Q127951,SOF,Sofia Airport,Bulgaria
